RANK,PITCHER,IP,PPERA,PPK_pct,PPSTUFF_plus,PPLOCATION_plus,PPPITCHING_plus,INJURY_pct,NFBC_adp,league,team,spring_stuff
1,Corbin Burnes,196,2.34,0.329,126,103,109,5.6,15,NL,MIL,#N/A
2,Gerrit Cole,199,2.65,0.343,129,103,111,70.3,14,AL,NYY,132.1
3,Jacob deGrom,140,1.76,0.39,137,106,115,92.9,26,AL,TEX,#N/A
4,Spencer Strider,151,2.43,0.356,134,102,111,64.3,22,NL,ATL,137.4
5,Shohei Ohtani,171,2.9,0.329,125,98,106,70.3,7,AL,LAA,#N/A
6,Sandy Alcantara,216,2.87,0.258,120,105,107,4.2,30,NL,MIA,118.6
7,Shane McClanahan,181,2.89,0.298,112,103,107,50.8,36,AL,TBR,122.5
8,Brandon Woodruff,182,2.97,0.297,113,107,109,21.9,33,NL,MIL,#N/A
9,Justin Verlander,175,2.86,0.289,118,105,108,97.5,33,NL,NYM,112.3
10,Max Scherzer,175,3.2,0.297,106,103,105,54.7,37,NL,NYM,102.3
11,Aaron Nola,202,3.18,0.283,107,108,108,13.4,30,NL,PHI,99.6
12,Dylan Cease,187,3.18,0.316,124,98,106,3.1,51,AL,CHW,#N/A
13,Luis Castillo,194,3.12,0.257,102,103,102,26.1,53,AL,SEA,#N/A
14,Kevin Gausman,179,3.19,0.281,110,105,108,39.5,51,AL,TOR,128.8
15,Zack Wheeler,181,3.17,0.269,111,106,109,94.3,51,NL,PHI,106.2
16,Cristian Javier,175,3.21,0.321,116,99,104,36.3,49,AL,HOU,92.3
17,Zac Gallen,183,3.33,0.264,107,104,106,30,70,NL,ARI,105.4
18,Julio Urias,190,3.48,0.257,110,107,109,0.3,56,NL,LAD,#N/A
19,Yu Darvish,185,3.31,0.273,113,102,104,90.4,70,NL,SDP,#N/A
20,Shane Bieber,204,3.49,0.27,98,102,103,8.8,50,AL,CLE,#N/A
21,Blake Snell,156,3.18,0.312,119,98,104,74.5,106,NL,SDP,#N/A
