"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",147.308,566.106,658.845,177.057,106.533,32.9485,2.29748,35.2782,119.899,92.9023,77.313,4.05282,104.017,10.0815,4.0723,1.27275,9.91619,51.5591,12.8928,0.312763,0.402163,0.566034,0.968197,0.409484,0.117346,0.157877,0.743274,0.253271,6.45554,0.329042,1.52333,NA,130.129,49.8525,0.441701,3.40704,4.93038,6.81414,52.4605355262756,-6.56558600068092,158.233,5.34625,-0.316671,1.16284,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Mookie Betts","13611","LAD","Dodgers",149.128,566.01,661.015,160.369,90.0871,35.4012,2.14414,32.7371,110.656,93.9382,80.5565,2.12614,103.665,8.42032,4.74861,1.27949,7.31319,13.078,3.51028,0.283333,0.377949,0.52697,0.904918,0.385033,0.121868,0.156827,0.777086,0.243636,4.9487,0.293842,0.868251,NA,117.134,36.5936,-1.03663,-0.229337,0.638914,6.14739,37.3753678798676,1.78668713569641,145.609,2.55551,-0.274974,0.866346,5.09999990463257,0,"OF",22,"NL","13611",""
"3","Aaron Judge","15640","NYY","Yankees",138.053,496.05,600.231,137.107,71.394,21.6635,0.35407,43.6953,99.8445,106.164,95.8821,9.3736,161.575,3.81132,4.13302,0.354397,8.58952,6.39606,2.3883,0.276397,0.394749,0.585756,0.980505,0.408204,0.159742,0.269188,0.593422,0.309359,3.27357,0.316743,0.177195,NA,117.914,44.7795,-0.502348,-0.974863,-0.797668,6.07278,44.1116109490395,-3.63002681732178,161.402,3.85041,0.118483,1.40772,11.3699998855591,0.34545455,"OF",9,"AL","15640",""
"4","Juan Soto","20123","NYY","Yankees",152.881,528.833,664.032,147.904,82.8474,26.7862,1.57888,36.6916,104.499,100.075,126.885,8.62432,110.16,3.63501,3.68765,0.991941,14.8556,10.6219,3.9007,0.27968,0.41992,0.54445,0.96437,0.408576,0.191083,0.165895,1.15183,0.264769,3.975,0.288362,-0.953369,NA,130.653,49.7446,-1.04595,-1.09959,-2.05296,6.01838,47.8352308273315,-10.069592833519,161.656,1.97896,0.0845415,0.964052,10.7299995422363,0.0375,"OF",9,"AL","20123",""
"5","Yordan Alvarez","19556","HOU","Astros",138.752,505.149,598.905,149.694,78.5747,30.7944,1.70339,38.6218,95.3077,106.543,78.2983,5.89194,116.635,9.82058,5.00283,0.63401,9.94736,0.727507,0.328907,0.296337,0.397501,0.593411,0.990911,0.413988,0.130736,0.194748,0.671308,0.297074,2.60259,0.312973,-0.309367,NA,120.531,47.5574,-0.691844,-1.23232,-1.54169,5.50319,47.8619204759598,-13.0223996639252,168.844,2.44955,0.105338,1.49379,16.4699993133545,0.6460177,"DH/OF",21,"AL","19556",""
"6","Julio Rodríguez","23697","SEA","Mariners",150.792,598.603,662.488,167.774,99.9315,33.5798,2.74314,31.5195,98.6218,91.4779,50.5116,4.97464,155.707,9.58971,2.69658,1.08762,9.93857,32.1964,8.72168,0.280276,0.344534,0.503503,0.848038,0.359647,0.0762452,0.235033,0.324402,0.223227,6.13274,0.329059,0.582566,NA,103.428,22.7081,-0.00962811,1.56332,2.14588,5.40964,29.6175701618195,2.12349194660783,134.608,2.2701,-1.81203,0.38357,3.10999989509583,0.01935484,"OF",11,"AL","23697",""
"7","José Ramírez","13510","CLE","Guardians",151.266,576.769,657.006,160.184,92.9811,36.7558,4.04296,26.4043,90.2731,94.126,69.1874,10,76.4832,4.54697,6.04621,0.456327,7.23407,24.6143,7.1162,0.277727,0.356284,0.492812,0.849096,0.358092,0.105307,0.116412,0.904609,0.215085,5.71243,0.27875,1.08625,NA,101.724,21.6714,1.61954,0.711759,1.798,5.06491,26.4821585416794,1.98812049627304,131.356,3.62358,-2.24965,0.318101,15.9799995422363,0.19871795,"3B",5,"AL","13510",""
"8","Adley Rutschman","26288","BAL","Orioles",143.23,517.062,603.502,140.107,89.6464,30.684,1.32685,18.4496,78.0364,69.7483,76.4493,2.8925,95.1551,4.81768,4.13074,1.04184,10.7994,2.2818,1.01836,0.270967,0.36745,0.442487,0.809936,0.351957,0.126676,0.157672,0.803417,0.17152,2.82058,0.29848,0.6413,NA,90.3652,16.832,3.75532,-1.26809,-0.626788,4.95672,19.1114531159401,10.0916244983673,127.296,3.13424,-2.3114,0.615104,52.8899993896484,0.29487179,"C/DH",2,"AL","26288",""
"9","Freddie Freeman","5361","LAD","Dodgers",153.709,587.052,676.984,180.164,113.154,38.9903,2.25835,25.7609,108.443,96.0618,75.2631,9.01684,107.953,9.40035,4.66044,0.608108,10.6909,14.9927,3.84668,0.306895,0.391538,0.512652,0.90419,0.384281,0.111174,0.159461,0.697185,0.205756,4.94105,0.337125,0.108866,NA,119.541,37.0549,0.558122,-0.0797948,0.0290708,4.88191,37.2302922196686,-11.3021214008331,145.096,4.12844,0.469309,1.17303,8.78999996185303,0,"1B",22,"NL","5361",""
"10","Corey Seager","13624","TEX","Rangers",127.763,494.91,558.714,145.83,83.7896,31.4749,1.07629,29.4897,83.218,87.592,53.0113,5.50444,90.2731,5.2507,4.72819,0.813576,9.93807,2.3819,0.908481,0.294661,0.365823,0.541365,0.907188,0.38153,0.094881,0.161573,0.587233,0.246705,3.04995,0.30626,-0.376647,NA,97.381,29.305,-1.55062,-0.959183,-1.33583,4.87396,27.502180814743,2.39269840717316,143.077,3.69981,1.40827,1.07706,32.2099990844727,0.05882353,"SS",13,"AL","13624",""
