"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"1","Spencer Strider","27498","ATL","Braves",15.2397,6.22757,29.6332,29.6332,0,0,NA,178.53,717.37,133.872,72.9873,67.1483,20.4478,250.714,59.1399,1.11108,7.21488,3.38505,1.08112,12.6389,2.98133,4.23933,1.0308,0.34949,0.0824398,0.267050080001354,NA,0.205636,0.2986,0.730143,3.05036,4.98733,4.57992,5.25405,-1.38681,1.54849,14.767,6.19000005722046,16,"NL","27498",""
"2","Zack Wheeler","10310","PHI","Phillies",12.7435,8.17907,29.5487,29.5487,0,0,NA,184.861,751.041,162.797,78.5787,72.2924,20.6369,192.032,43.8971,0.942032,8.24955,3.51957,1.11811,9.34911,2.13714,4.37459,1.00471,0.255687,0.0584484,0.19723903387785,NA,0.232935,0.292375,0.720549,3.47497,4.77868,4.27524,2.08159,-1.14369,1.1557,16.2351,24.6900005340576,26,"NL","10310",""
"3","Logan Webb","17995","SFG","Giants",12.247,9.5888,30.1458,30.1458,0,0,NA,193.061,791.137,182.986,79.6713,73.2976,16.1343,172.404,40.9795,0.60931,7.2965,3.41695,1.16008,8.03704,1.91036,4.20708,0.75214,0.217919,0.0517982,0.166121054440737,NA,0.246326,0.301,0.716536,3.30562,4.60452,4.59626,3.37997,0.330244,1.08744,16.4895,51.8699989318848,30,"NL","17995",""
"4","Kevin Gausman","14107","TOR","Blue Jays",12.0213,8.64143,29.1331,29.1331,0,0,NA,178.883,728.531,158.417,74.0914,68.1641,21.6586,208.215,47.1379,0.676666,4.21656,3.4295,1.14911,10.4758,2.37162,4.41716,1.08969,0.285802,0.0647026,0.221099078655243,NA,0.233938,0.305741,0.750222,3.36234,4.42346,4.0664,3.39453,-0.179816,1.11676,15.3542,30.6100006103516,14,"AL","14107",""
"5","Aaron Nola","16149","PHI","Phillies",12.073,9.02029,29.7703,29.7703,0,0,NA,186.329,756.094,168.984,87.6674,80.654,26.0086,195.233,40.5903,0.896731,6.16533,3.89572,1.12475,9.43005,1.96058,4.80983,1.25626,0.258212,0.0536843,0.204527799040079,NA,0.238227,0.292924,0.704004,3.72686,4.1544,3.38924,2.80915,-1.42296,1.25402,13.7929,52.939998626709,26,"NL","16149",""
"6","Pablo López","17085","MIN","Twins",12.2896,8.3128,29.6872,29.6872,0,0,NA,183.022,748.268,160.299,77.8308,71.6044,21.2772,202.09,48.5001,1.36358,8.70549,3.52111,1.14084,9.93767,2.38496,4.1668,1.04629,0.270077,0.0648164,0.205260880291462,NA,0.23196,0.297249,0.731621,3.49566,3.93679,3.90507,3.16015,-0.43557,1.07906,14.7933,34.7299995422363,8,"AL","17085",""
"7","Tarik Skubal","22267","DET","Tigers",10.4565,8.80089,27.7896,27.7896,0,0,NA,155.707,630.764,132.94,64.7107,59.5338,17.1648,177.936,41.2318,0.53144,5.32962,3.44111,1.11859,10.2849,2.38323,4.31551,0.992139,0.282096,0.065368,0.216728121042252,NA,0.227558,0.297545,0.729055,3.2997,3.81587,3.59965,3.37392,-0.146998,1.0207,11.9563,49.5999984741211,6,"AL","22267",""
"8","George Kirby","25436","SEA","Mariners",12.2486,8.756,29.7662,29.7662,0,0,NA,181.274,730.055,170.596,78.1152,71.866,22.0421,170.86,26.9949,0.984576,6.77128,3.56805,1.09001,8.48299,1.34026,6.32936,1.09436,0.234038,0.0369765,0.197061017155647,NA,0.245007,0.295108,0.716573,3.50949,3.80738,3.50775,2.46206,-2.73357,1.26621,15.0832,32.9700012207031,11,"AL","25436",""
"9","Framber Valdez","17295","HOU","Astros",13.8651,8.5026,29.4497,29.4497,0,0,NA,189.398,787.112,166.088,77.6336,71.4229,16.6546,188.432,61.535,0.823051,10.2361,3.39395,1.20182,8.95412,2.92409,3.06219,0.791411,0.239397,0.0781782,0.161218747496605,NA,0.23218,0.29286,0.734138,3.54522,3.73336,4.36079,2.42201,0.273778,1.28677,16.7381,57.2099990844727,21,"AL","17295",""
"10","Zach Eflin","13774","TBR","Rays",11.7834,8.32246,28.2696,28.2696,0.00300781,0,NA,165.491,668.673,153.847,72.6715,66.8578,20.234,160.572,29.1876,1.5699,5.71457,3.63597,1.10601,8.73246,1.58733,5.50136,1.1004,0.240135,0.04365,0.196484562009573,NA,0.242749,0.294974,0.713369,3.53666,3.69671,3.42212,3.0756,0.339232,1.09071,12.9458,78.3499984741211,12,"AL","13774",""
