"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",157,579,679,180,104,34,2,40,135,106,82,4,109,11,4,3,NA,53,12,0.31108,0.403581,0.583321,0.986901,0.415933,0.120854,0.16052,0.752887,0.27224,6.75463,0.323052,1.62908,NA,137.746,55.0142,0.710667,3.92013,5.54921,7.43289,58.1700158119202,-6.7643329501152,162.556,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Aaron Judge","15640","NYY","Yankees",152,547,658,148,78,23,0,46,107,116,101,11,177,4,5,1,NA,7,2,0.270446,0.384823,0.568425,0.953248,0.397248,0.152987,0.268542,0.569694,0.297979,3.13081,0.308836,0.0523595,NA,123.276,43.1022,2.68583,-0.80018,-0.747821,6.68308,45.3356486558914,-0.664169549942017,158.45,NA,NA,NA,12.8500003814697,0.34545455,"OF",9,"AL","15640",""
"3","Juan Soto","20123","NYY","Yankees",157,537,679,150,86,26,1,36,111,105,133,11,110,4,4,2,NA,11,4,0.279483,0.423278,0.535843,0.95912,0.406479,0.196092,0.162551,1.20634,0.25636,3.83945,0.288576,-0.855306,NA,132.415,49.6829,-1.36748,-1.18349,-2.03879,6.29616,50.7205154895782,-10.6424791812897,164.848,NA,NA,NA,9.93000030517578,0.0375,"OF",9,"AL","20123",""
"4","Mookie Betts","13611","LAD","Dodgers",157,578,679,161,92,35,2,33,115,96,85,3,106,9,5,3,NA,13,3,0.279424,0.376891,0.516217,0.893108,0.380919,0.124656,0.156374,0.797163,0.236793,5.01706,0.290117,0.940845,NA,118.002,35.2696,-2.78386,-0.219843,0.721002,5.99408,36.7857301235199,0.191134929656982,142.874,NA,NA,NA,4.80999994277954,0,"OF",22,"NL","13611",""
"5","Fernando Tatis Jr.","19709","SDP","Padres",156,596,672,163,89,34,2,38,108,103,64,1,148,5,5,3,NA,27,6,0.273381,0.346126,0.525827,0.871953,0.369078,0.0950269,0.220038,0.431865,0.252446,5.8119,0.302099,1.13625,NA,110.177,28.2973,7.72299,1.63492,2.77117,5.74747,34.2192859649658,0.522994518280029,137.775,NA,NA,NA,8.56999969482422,0.02027027,"SS/OF",29,"NL","19709",""
"6","Yordan Alvarez","19556","HOU","Astros",141,516,609,154,82,32,2,38,101,111,77,7,120,10,5,1,NA,1,1,0.298492,0.395992,0.591331,0.987324,0.412327,0.126178,0.197752,0.638065,0.29284,3.15005,0.31947,-0.28057,NA,121.722,47.5187,-0.00822414,-1.35442,-1.63499,5.57543,47.7610658407211,-12.533223756589,167.693,NA,NA,NA,15.9099998474121,0.6460177,"DH/OF",21,"AL","19556",""
"7","Julio Rodríguez","23697","SEA","Mariners",156,607,672,169,102,33,2,33,101,99,50,5,155,10,3,2,NA,33,10,0.278262,0.340725,0.500178,0.840903,0.356379,0.0737612,0.230105,0.320554,0.221916,5.89348,0.322255,1.1871,NA,103.089,21.2102,1.70459,1.1438,2.3309,5.49462,28.3731105327606,3.90459108352661,132.343,NA,NA,NA,3.26999998092651,0.01935484,"OF",11,"AL","23697",""
"8","Adley Rutschman","26288","BAL","Orioles",146,500,586,134,83,32,1,18,80,68,75,3,90,5,4,2,NA,3,1,0.268699,0.367006,0.44708,0.814086,0.352927,0.128234,0.154423,0.830405,0.178381,3.04295,0.293504,0.622864,NA,88.1564,16.8044,2.31553,-1.21587,-0.59301,5.29154,19.0315113067627,8.7655303478241,127.968,NA,NA,NA,53.8499984741211,0.29487179,"C/DH",2,"AL","26288",""
"9","Gunnar Henderson","26289","BAL","Orioles",154,584,665,152,89,29,7,28,98,95,69,1,161,6,5,1,NA,12,4,0.260668,0.342241,0.475524,0.817764,0.350228,0.104175,0.242375,0.429809,0.214855,5.95601,0.311151,0.982018,NA,98.6185,17.5921,3.48473,-0.714123,0.267895,5.29087,21.0624750852585,9.40972805023193,126.097,NA,NA,NA,32.5900001525879,0.06179775,"3B/SS",2,"AL","26289",""
"10","José Ramírez","13510","CLE","Guardians",152,577,658,161,93,37,4,27,92,96,70,17,79,5,6,1,NA,23,6,0.279434,0.35945,0.497763,0.857214,0.357879,0.107138,0.120502,0.889098,0.21833,5.68717,0.282076,1.05225,NA,101.762,21.5881,2.23841,0.87949,1.93174,5.17277,26.5371561050415,2.98840796947479,131.208,NA,NA,NA,15.3000001907349,0.19871795,"3B",5,"AL","13510",""
