"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"1","Spencer Strider","27498","ATL","Braves",15,7,31,31,0,0,NA,180,733,135,70,65,21,256,58,NA,9,3.23324,1.07194,12.7658,2.88053,4.43174,1.04392,0.348785,0.0787016,0.270083852112293,NA,0.203338,0.293946,0.751463,3.03316,4.95298,4.87995,NA,NA,NA,NA,5.46000003814697,16,"NL","27498",""
"2","Zack Wheeler","10310","PHI","Phillies",13,9,32,32,0,0,NA,196,810,178,85,78,21,197,51,NA,9,3.58303,1.16558,9.02608,2.33858,3.85965,0.966611,0.242729,0.0628888,0.179839938879013,NA,0.236619,0.293772,0.72189,3.5573,4.95077,4.4688,NA,NA,NA,NA,23.5799999237061,26,"NL","10310",""
"3","Aaron Nola","16149","PHI","Phillies",13,10,32,32,0,0,NA,196,806,182,90,84,25,203,42,NA,7,3.82783,1.13927,9.30555,1.92509,4.83382,1.13893,0.251812,0.0520939,0.199718382209539,NA,0.239854,0.296128,0.707297,3.57619,4.80948,3.93898,NA,NA,NA,NA,52.9000015258789,26,"NL","16149",""
"4","Kevin Gausman","14107","TOR","Blue Jays",13,9,32,32,0,0,NA,192,794,173,80,74,24,215,49,NA,4,3.45184,1.15171,10.0471,2.27159,4.42293,1.1377,0.27027,0.0611064,0.209163188934326,NA,0.233232,0.295777,0.756225,3.48948,4.36008,4.20269,NA,NA,NA,NA,36.7400016784668,14,"AL","14107",""
"5","Logan Webb","17995","SFG","Giants",13,10,32,32,0,0,NA,202,838,197,84,77,17,178,44,NA,8,3.41601,1.18988,7.92268,1.96026,4.04166,0.765119,0.212451,0.0525652,0.159885358065367,NA,0.25006,0.303575,0.722367,3.36813,4.18454,4.34625,NA,NA,NA,NA,50.4599990844727,30,"NL","17995",""
"6","Pablo López","17085","MIN","Twins",12,9,32,32,0,0,NA,192,792,169,83,77,22,210,51,NA,9,3.594,1.15013,9.86935,2.41463,4.08732,1.03307,0.265431,0.06494,0.200490683317184,NA,0.231185,0.294675,0.724124,3.50487,4.05822,3.91889,NA,NA,NA,NA,34.4900016784668,8,"AL","17085",""
"7","Luis Castillo","15689","SEA","Mariners",13,10,32,32,0,0,NA,194,801,168,81,75,22,204,58,NA,7,3.46172,1.16446,9.48721,2.69215,3.52403,1.02176,0.255238,0.072428,0.182810440659523,NA,0.228044,0.286191,0.743862,3.62887,3.76265,3.93703,NA,NA,NA,NA,28.7199993133545,11,"AL","15689",""
"8","Corbin Burnes","19361","BAL","Orioles",12,9,32,32,0,0,NA,197,815,170,86,79,21,208,61,NA,9,3.62177,1.17377,9.5374,2.78155,3.42881,0.960423,0.255635,0.074555,0.18108032643795,NA,0.22812,0.288852,0.718836,3.58732,3.75874,3.80116,NA,NA,NA,NA,19.6399993896484,2,"AL","19361",""
"9","Framber Valdez","17295","HOU","Astros",14,8,31,31,0,0,NA,196,818,176,81,73,17,188,65,NA,11,3.36825,1.22633,8.60848,2.97542,2.8932,0.773729,0.229556,0.0793432,0.150212630629539,NA,0.236888,0.295665,0.737528,3.61611,3.71472,4.51816,NA,NA,NA,NA,55.9099998474121,21,"AL","17295",""
"10","George Kirby","25436","SEA","Mariners",13,10,32,32,0,0,NA,191,784,183,81,75,23,177,32,NA,7,3.55602,1.1237,8.35662,1.49359,5.59499,1.10024,0.225825,0.0403621,0.185463286936283,NA,0.245114,0.292481,0.731236,3.60014,3.7028,3.744,NA,NA,NA,NA,33.2700004577637,11,"AL","25436",""
"11","Yoshinobu Yamamoto","33825","LAD","Dodgers",14,8,29,29,0,0,NA,184,738,154,83,77,25,191,44,NA,6,3.77503,1.07781,9.32025,2.16574,4.30349,1.21038,0.258385,0.0600409,0.198344521224499,NA,0.224212,0.274083,0.702227,3.75434,3.69778,3.48762,NA,NA,NA,NA,999,22,"NL","33825",""
"12","Tarik Skubal","22267","DET","Tigers",10,9,29,29,0,0,NA,158,646,138,66,61,17,174,41,NA,5,3.4737,1.13745,9.92447,2.36299,4.19996,0.991242,0.269193,0.0640943,0.205098852515221,NA,0.230213,0.295556,0.732787,3.36946,3.69487,3.59336,NA,NA,NA,NA,45.7700004577637,6,"AL","22267",""
"13","Zach Eflin","13774","TBR","Rays",13,9,31,31,0,0,NA,178,730,168,75,70,21,172,32,NA,6,3.51691,1.12285,8.70595,1.60526,5.42338,1.06232,0.236112,0.043536,0.192576192319393,NA,0.242978,0.294975,0.73153,3.48413,3.64151,3.58264,NA,NA,NA,NA,76.379997253418,12,"AL","13774",""
"14","Max Fried","13743","ATL","Braves",14,7,31,31,0,0,NA,179,744,170,75,68,18,167,47,NA,6,3.43818,1.21323,8.4031,2.35301,3.57121,0.882999,0.224418,0.0628408,0.161576740443707,NA,0.246284,0.301355,0.740102,3.55077,3.60658,4.25913,NA,NA,NA,NA,59.0200004577637,16,"NL","13743",""
"15","Shota Imanaga","sa3023346","CHC","Cubs",10,8,29,29,0,0,NA,169,706,156,75,69,21,175,47,NA,7,3.70356,1.20673,9.34379,2.52055,3.70705,1.11794,0.248226,0.0669605,0.181265376508236,NA,0.239891,0.297155,0.739404,3.75227,3.35745,3.50044,NA,NA,NA,NA,173.399993896484,17,"NL","sa3023346",""
"16","Shane Bieber","19427","CLE","Guardians",11,9,31,31,0,0,NA,191,798,182,86,79,23,187,49,NA,6,3.73279,1.21267,8.82012,2.32,3.80178,1.10458,0.234339,0.0616392,0.172699481248856,NA,0.245213,0.298117,0.732043,3.75419,3.34687,3.40193,NA,NA,NA,NA,143.190002441406,5,"AL","19427",""
"17","Zac Gallen","19291","ARI","Diamondbacks",13,10,32,32,0,0,NA,197,817,180,87,81,24,194,56,NA,8,3.69734,1.20146,8.8714,2.57331,3.44747,1.09792,0.237228,0.0688122,0.168415397405624,NA,0.239074,0.29155,0.734608,3.84631,3.34315,4.24916,NA,NA,NA,NA,40.5999984741211,15,"NL","19291",""
"18","Tyler Glasnow","14374","LAD","Dodgers",11,6,26,26,0,0,NA,146,598,122,62,57,20,182,46,NA,2,3.52576,1.14402,11.1879,2.82342,3.96253,1.22409,0.304463,0.0768356,0.227627828717232,NA,0.221128,0.292242,0.754059,3.52107,3.23729,3.1824,NA,NA,NA,NA,39.060001373291,22,"NL","14374",""
"19","Jesús Luzardo","19959","MIA","Marlins",10,10,31,31,0,0,NA,177,745,157,81,75,23,200,62,NA,7,3.82131,1.23596,10.1798,3.13085,3.25146,1.16193,0.268867,0.0826912,0.186175726354122,NA,0.232557,0.29664,0.737663,3.83544,3.20312,3.48271,NA,NA,NA,NA,78.9300003051758,20,"NL","19959",""
"20","Justin Steele","17312","CHC","Cubs",11,9,31,31,0,0,NA,177,742,168,78,72,20,165,53,NA,8,3.67303,1.25168,8.39719,2.69691,3.11363,0.999045,0.222388,0.071424,0.15096402913332,NA,0.24713,0.299478,0.737338,3.86155,3.16173,3.72218,NA,NA,NA,NA,95.1900024414062,17,"NL","17312",""
"21","Carlos Rodón","16137","NYY","Yankees",12,9,29,29,0,0,NA,159,658,133,72,67,22,186,50,NA,7,3.81268,1.14714,10.5472,2.81323,3.74915,1.23808,0.283065,0.0755012,0.207564078271389,NA,0.220517,0.281604,0.724597,3.76608,3.12653,2.75861,NA,NA,NA,NA,141.190002441406,9,"AL","16137",""
"22","Freddy Peralta","18679","MIL","Brewers",11,9,29,29,0,0,NA,163,673,133,73,68,22,189,58,NA,8,3.77314,1.17803,10.4939,3.22697,3.25194,1.19971,0.281683,0.0866199,0.19506261497736,NA,0.219596,0.282091,0.733139,3.87877,3.0845,3.30052,NA,NA,NA,NA,50.75,23,"NL","18679",""
"23","Logan Gilbert","22250","SEA","Mariners",12,10,32,32,0,0,NA,190,787,176,84,78,25,181,47,NA,6,3.69237,1.17752,8.5951,2.24722,3.82477,1.16896,0.230481,0.06026,0.170220524072647,NA,0.24015,0.28717,0.737882,3.87364,3.02069,3.3502,NA,NA,NA,NA,61.4300003051758,11,"AL","22250",""
"24","Dylan Cease","18525","SDP","Padres",10,9,31,31,0,0,NA,174,747,151,82,76,21,202,74,NA,7,3.90653,1.28638,10.4297,3.80339,2.74221,1.10221,0.270631,0.0986909,0.171940572559834,NA,0.226298,0.292353,0.733248,3.92457,2.97867,2.65011,NA,NA,NA,NA,100.139999389648,29,"NL","18525",""
"25","Mitch Keller","17594","PIT","Pirates",11,11,32,32,0,0,NA,189,811,183,94,87,22,178,64,NA,11,4.14068,1.30821,8.4522,3.04305,2.77754,1.05764,0.218935,0.0788235,0.140111833810806,NA,0.249292,0.30076,0.709373,4.09898,2.90946,3.02468,NA,NA,NA,NA,157.559997558594,27,"NL","17594",""
"26","Blake Snell","13543","SFG","Giants",12,9,29,29,0,0,NA,164,695,131,68,63,18,208,77,NA,4,3.45187,1.26628,11.4031,4.23846,2.6904,0.988916,0.299225,0.11122,0.188005484640598,NA,0.212714,0.290189,0.764031,3.63533,2.88083,3.54014,NA,NA,NA,NA,72.75,30,"NL","13543",""
"27","Sonny Gray","12768","STL","Cardinals",10,8,31,31,0,0,NA,175,734,162,78,72,19,159,57,NA,8,3.7036,1.25018,8.20367,2.92209,2.80747,1.00304,0.217069,0.0773183,0.139750324189663,NA,0.241646,0.290006,0.734206,3.98847,2.86645,3.51482,NA,NA,NA,NA,128.009994506836,28,"NL","12768",""
"28","Chris Bassitt","12304","TOR","Blue Jays",13,11,32,32,0,0,NA,197,831,189,95,88,26,173,56,NA,12,4.00801,1.24022,7.89189,2.56024,3.08248,1.16437,0.208163,0.0675308,0.140631891787052,NA,0.247246,0.28901,0.716702,4.22378,2.85192,2.91422,NA,NA,NA,NA,128.169998168945,14,"AL","12304",""
"29","Yu Darvish","13074","SDP","Padres",11,11,29,29,0,0,NA,174,721,157,84,78,24,172,46,NA,10,4.04251,1.17238,8.91478,2.40032,3.71399,1.26694,0.23871,0.0642732,0.174436792731285,NA,0.236705,0.283836,0.707274,4.07396,2.84115,2.43644,NA,NA,NA,NA,178.470001220703,29,"NL","13074",""
"30","Jordan Montgomery","16511",NA,NA,10,9,29,29,0,0,NA,172,725,168,81,74,22,159,50,NA,5,3.89758,1.26664,8.33833,2.61432,3.18948,1.15967,0.219302,0.0687579,0.150544181466103,NA,0.249996,0.297367,0.73391,4.03706,2.83425,3.04114,NA,NA,NA,NA,167.429992675781,-1,NA,"16511",""
"31","Joe Musgrove","12970","SDP","Padres",11,8,29,29,0,0,NA,172,716,158,74,69,21,165,43,NA,13,3.6177,1.17092,8.65754,2.25581,3.83789,1.10905,0.230584,0.060081,0.170503363013268,NA,0.239282,0.288701,0.73839,3.9105,2.81611,3.39037,NA,NA,NA,NA,92.7799987792969,29,"NL","12970",""
"32","Chris Sale","10603","ATL","Braves",10,7,28,28,0,0,NA,145,606,129,66,61,20,172,43,NA,9,3.80322,1.18891,10.6776,2.6915,3.96717,1.25639,0.283331,0.071419,0.211912415921688,NA,0.232698,0.300334,0.739,3.78681,2.80665,2.88598,NA,NA,NA,NA,108.529998779297,16,"NL","10603",""
