"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",150,594.553,695.049,188.977,113.856,34.2801,2.7578,38.0823,134.724,99.4301,79.0966,3.4752,107.971,10.4257,4.3338,6.6399,NA,56.06,14.6336,0.317847,0.404554,0.576936,0.98149,0.41458,0.1138,0.155343,0.732574,0.25909,6.94048,0.333222,2.078,NA,140.222,55.5339,-0.391,3.4952,5.5732,7.4031,58.6571373939514,-8.09699985384941,161.649,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Juan Soto","20123","NYY","Yankees",150,530.94,673.76,150.603,84.291,26.5902,1.401,38.3213,116.323,103.227,130.507,9.4326,108.79,4.0426,4.9008,3.3691,NA,11.4241,4.5537,0.283654,0.425354,0.555542,0.980896,0.414021,0.1937,0.161466,1.19963,0.271888,3.95977,0.288843,-1.091,NA,135.614,53.5199,-0.723,-1.25071,-2.34171,6.6641,54.2308497428894,-10.2850002646446,170.076,NA,NA,NA,9.93000030517578,0.0375,"OF",9,"AL","20123",""
"3","Aaron Judge","15640","NYY","Yankees",150,554.575,669.665,149.589,80.0208,23.0131,0.6204,45.9349,110.282,113.602,102.994,12.054,178.906,4.6877,4.9567,2.451,NA,8.2082,3.0359,0.269737,0.38559,0.561958,0.947548,0.395269,0.1538,0.267157,0.57569,0.292221,3.48852,0.309702,0.067,NA,124.36,42.7655,-1.848,-0.993143,-0.926143,6.20306,44.8734899163246,-5.41199994087219,157.078,NA,NA,NA,12.8500003814697,0.34545455,"OF",9,"AL","15640",""
"4","Mookie Betts","13611","LAD","Dodgers",150,593.685,694.854,166.621,95.0629,36.1334,1.5747,33.8503,116.017,90.3555,81.1589,2.0846,109.179,9.0331,4.3343,6.6424,NA,14.1777,3.8372,0.280656,0.373161,0.517876,0.891036,0.380008,0.1168,0.157125,0.743359,0.23722,4.79622,0.291811,1.188,NA,120.231,35.5674,-2.063,-0.195408,0.992592,6.18763,37.373695909977,1.00399994850159,142.263,NA,NA,NA,4.80999994277954,0,"OF",22,"NL","13611",""
"5","Yordan Alvarez","19556","HOU","Astros",140.94,530.526,628.948,158.548,84.4283,32.7147,2.1892,39.2155,107.306,108.128,81.0714,6.2895,124.514,10.0632,4.584,2.704,NA,1.3824,0.6124,0.29885,0.398698,0.590523,0.98922,0.413858,0.1289,0.197972,0.651101,0.291672,3.31609,0.321321,-0.371,NA,126.509,49.8754,-0.053,-1.28627,-1.65727,5.77752,50.156920671463,-13.5800004266202,168.755,NA,NA,NA,15.9099998474121,0.6460177,"DH/OF",21,"AL","19556",""
"6","Adley Rutschman","26288","BAL","Orioles",137.41,523.887,618.907,142.421,90.6171,31.0545,1.2909,19.4584,87.5289,70.7937,81.6338,3.7134,96.9191,4.9513,4.3815,4.0533,NA,3.187,1.3854,0.271854,0.372456,0.447487,0.819943,0.355792,0.1319,0.156597,0.842288,0.175633,3.19955,0.298531,0.78,NA,94.6428,19.2326,0.219,-1.2841,-0.5041,5.72456,21.7090198993683,6.48600019514561,129.954,NA,NA,NA,53.8499984741211,0.29487179,"C/DH",2,"AL","26288",""
"7","Fernando Tatis Jr.","19709","SDP","Padres",150,601.172,679.745,167.319,94.6517,34.5094,1.46,36.698,106.534,99.0324,63.8281,0.6797,145.544,5.438,4.7871,4.5201,NA,26.5304,8.0144,0.278322,0.35038,0.523715,0.874094,0.370894,0.0939,0.214115,0.438549,0.245393,5.31022,0.308274,1.448,NA,112.472,29.649,5.998,0.665608,2.11361,5.6447,34.9497401714325,-1.5019998550415,138.993,NA,NA,NA,8.56999969482422,0.02027027,"SS/OF",29,"NL","19709",""
"8","Julio Rodríguez","23697","SEA","Mariners",150,606.554,676.78,171.37,100.911,34.5602,2.5893,33.3092,102.937,95.3075,51.5707,5.4142,153.579,9.4749,4.7596,4.4213,NA,31.49,10.8922,0.282531,0.345672,0.512793,0.858465,0.362637,0.0762001,0.226927,0.335792,0.230262,6.02083,0.32529,1.53,NA,107.34,24.8787,-1.118,0.494459,2.02446,5.5772,31.7695264816284,1.17400002479553,136.68,NA,NA,NA,3.26999998092651,0.01935484,"OF",11,"AL","23697",""
"9","José Ramírez","13510","CLE","Guardians",150,580.049,664.311,163.678,95.5987,36.4411,4.0331,27.6055,93.6538,97.4618,72.742,17.9364,82.3089,5.3145,5.058,1.1474,NA,23.2363,6.7848,0.28218,0.364518,0.501686,0.866204,0.361644,0.1095,0.123901,0.883768,0.219505,5.62569,0.286353,1.382,NA,104.815,23.8724,0.72,0.583712,1.96571,5.28157,28.8843523263931,1.51800000667572,133.818,NA,NA,NA,15.3000001907349,0.19871795,"3B",5,"AL","13510",""
"10","Gunnar Henderson","26289","BAL","Orioles",150,576.87,655.987,150.612,87.0512,29.6434,5.8806,28.0371,88.0894,91.6969,66.9763,0.656,156.043,5.2479,4.9092,1.9837,NA,10.9769,4.3969,0.261086,0.340727,0.478666,0.819393,0.350614,0.1021,0.237876,0.429216,0.217581,5.32908,0.308211,1.279,NA,97.4921,17.5639,2.056,-0.882637,0.396363,5.15465,21.1192652583122,8.29299998283386,126.365,NA,NA,NA,32.5900001525879,0.06179775,"3B/SS",2,"AL","26289",""
