"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"1","Spencer Strider","27498","ATL","Braves",14.5217,7.0525,30.78,30.78,0,0,NA,184.802,752.143,138.493,70.495,65.4023,21.17,257.086,62.1368,NA,7.8742,3.18515,1.08565,12.5203,3.02612,4.13743,1.031,0.341805,0.082613,0.259192205965519,0.371295,0.20303,0.290493,0.761059,3.0985,4.91405,5.20743,NA,NA,NA,19.2649,5.46000003814697,16,"NL","27498",""
"2","Zack Wheeler","10310","PHI","Phillies",13.0904,9.7554,32,32,0,0,NA,197.442,813.188,179.697,84.799,78.0258,23.9344,198.564,47.6544,NA,9.3541,3.55665,1.15149,9.05115,2.17223,4.16676,1.091,0.24418,0.0586019,0.185578119009733,0.438088,0.237638,0.291865,0.735401,3.68577,4.70007,4.56328,NA,NA,NA,19.5852,23.5799999237061,26,"NL","10310",""
"3","Kevin Gausman","14107","TOR","Blue Jays",12.9935,9.6099,32,32,0,0,NA,193.298,797.433,167.197,80.2127,73.9359,23.7326,220.931,51.7183,NA,5.1187,3.44248,1.13253,10.2866,2.40802,4.27182,1.105,0.277053,0.064856,0.21219689399004,0.408529,0.225761,0.289283,0.74696,3.44735,4.45434,4.24514,NA,NA,NA,19.3129,36.7400016784668,14,"AL","14107",""
"4","Aaron Nola","16149","PHI","Phillies",12.455,10.283,32,32,0,0,NA,195.107,808.565,182.908,89.405,82.8262,27.7485,200.488,44.5616,NA,6.817,3.82066,1.16587,9.24822,2.05556,4.49911,1.28,0.247955,0.055112,0.19284300878644,0.422084,0.241563,0.293335,0.731966,3.83878,4.20999,4.00154,NA,NA,NA,18.2758,52.9000015258789,26,"NL","16149",""
"5","Logan Webb","17995","SFG","Giants",12.5367,10.5713,32,32,0,0,NA,201.377,842.229,201.574,86.8677,78.3694,17.4527,180.386,44.7063,NA,8.1039,3.50251,1.22298,8.06187,1.99803,4.03491,0.78,0.214177,0.0530809,0.161095976829529,0.562575,0.255345,0.311237,0.718571,3.37692,4.09284,3.8967,NA,NA,NA,20.4154,50.4599990844727,30,"NL","17995",""
"6","Pablo López","17085","MIN","Twins",12.7353,9.879,32,32,0,0,NA,193.266,801.268,171.684,82.027,75.4325,22.1182,213.512,53.5608,NA,8.8148,3.51274,1.16547,9.9428,2.49422,3.98634,1.03,0.266467,0.0668451,0.199621982872486,0.440688,0.232353,0.297193,0.737175,3.50154,4.07222,4.08104,NA,NA,NA,19.0606,34.4900016784668,8,"AL","17085",""
"7","Framber Valdez","17295","HOU","Astros",13.8798,8.3643,30.78,30.78,0,0,NA,195.497,811.192,179.717,81.614,73.6935,16.7693,197.205,62.9258,NA,9.8722,3.39259,1.24115,9.07861,2.89688,3.13392,0.772,0.243105,0.077572,0.165532812476158,0.570403,0.243388,0.310719,0.734735,3.4698,4.04268,4.34116,NA,NA,NA,20.3015,55.9099998474121,21,"AL","17295",""
"8","Tarik Skubal","22267","DET","Tigers",11.3933,8.9304,29.16,29.16,0,0,NA,171.185,702.441,148,68.9226,63.3289,19.439,197.589,46.6491,NA,6.3817,3.3295,1.13707,10.3882,2.45257,4.23564,1.022,0.281289,0.06641,0.214878983795643,0.432117,0.227899,0.297331,0.750899,3.35214,4.03375,4.15487,NA,NA,NA,17.1552,45.7700004577637,6,"AL","22267",""
"9","Tyler Glasnow","14374","LAD","Dodgers",11.1323,6.9535,25.92,25.92,0,0,NA,153.339,629.728,127.584,64.3015,59.298,18.6051,190.684,48.2366,NA,4.1915,3.48041,1.14662,11.1919,2.83118,3.95309,1.092,0.302803,0.0765991,0.22620414942503,0.4429,0.221002,0.29613,0.744586,3.37102,3.66085,3.43915,NA,NA,NA,15.0098,39.060001373291,22,"NL","14374",""
"10","Zac Gallen","19291","ARI","Diamondbacks",12.4911,10.3168,32,32,0,0,NA,196.31,824.139,185.474,90.091,83.264,23.6662,202.422,54.3413,NA,8.1944,3.81731,1.22162,9.2802,2.49132,3.72501,1.085,0.245616,0.0659371,0.179678931832314,0.428457,0.243531,0.302154,0.724417,3.71566,3.64034,3.87224,NA,NA,NA,18.4834,40.5999984741211,15,"NL","19291",""
"11","George Kirby","25436","SEA","Mariners",12.3214,10.207,32,32,0,0,NA,191.482,787.022,182.179,83.7389,77.1789,25.1055,183.301,32.7488,NA,7.8293,3.62754,1.12244,8.61544,1.53925,5.59717,1.18,0.232904,0.041611,0.191293012350798,0.429723,0.244062,0.291937,0.729718,3.68069,3.48658,3.3811,NA,NA,NA,18.3666,33.2700004577637,11,"AL","25436",""
