"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",147,567,659,181,104,37,2,38,126,101,77,6,103,10,4,1,10,52,17,0.319242,0.408111,0.594208,1.00232,0.421042,0.117383,0.156446,0.750305,0.274966,6.45065,0.332261,NA,NA,136.453,56.177,5.03,2.02994,2.02994,7.61312,55.8846619129181,-1.9773006439209,165.981,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Mookie Betts","13611","LAD","Dodgers",149,567,661,163,92,36,3,32,105,99,81,3,102,8,5,1,9,13,5,0.287094,0.38064,0.531357,0.911997,0.387423,0.12205,0.154883,0.788011,0.244262,4.8394,0.298434,NA,NA,118.447,37.906,1.04,-0.84721,-0.84721,6.40282,37.8328518271446,3.86331558227539,147.234,NA,NA,NA,5.09999990463257,0,"OF",22,"NL","13611",""
"3","Aaron Judge","15640","NYY","Yankees",138,495,600,138,68,25,1,45,101,110,96,10,162,5,3,0,9,7,3,0.278895,0.39874,0.602458,1.0012,0.415441,0.159994,0.270694,0.59105,0.323563,3.3285,0.320186,NA,NA,121.521,48.3868,-4.98,-1.03966,-1.03966,6.21763,50.0667141675949,-8.10767817497253,171.06,NA,NA,NA,11.3699998855591,0.34545455,"OF",9,"AL","15640",""
"4","Juan Soto","20123","NYY","Yankees",153,531,664,147,82,27,2,36,107,97,124,8,110,4,4,1,15,10,4,0.276683,0.414794,0.538941,0.953735,0.404702,0.186561,0.165577,1.12673,0.262258,4.06145,0.284911,NA,NA,128.516,47.6078,-0.81,-1.14896,-1.14896,6.20192,49.4674154520035,-9.83361774682999,163.616,NA,NA,NA,10.7299995422363,0.0375,"OF",9,"AL","20123",""
"5","Fernando Tatis Jr.","19709","SDP","Padres",148,570,647,162,89,33,4,36,107,101,65,4,146,6,4,1,10,32,8,0.284559,0.361625,0.547195,0.90882,0.382885,0.100516,0.226122,0.444522,0.262635,6.43917,0.321197,NA,NA,113.432,34.644,4.78,1.73473,1.73473,5.92163,39.4105522632599,-2.04999971389771,147.032,NA,NA,NA,8.02999973297119,0.02054795,"SS/OF",29,"NL","19709",""
"6","Adley Rutschman","26288","BAL","Orioles",143,519,604,141,92,28,2,18,77,72,74,3,94,5,4,1,12,3,1,0.271679,0.366001,0.438604,0.804605,0.349609,0.123059,0.155247,0.792664,0.166925,3.1744,0.299099,NA,NA,89.1884,15.6551,12.46,-1.15524,-1.15524,5.65468,17.4061907529831,18.7963061332703,125.668,NA,NA,NA,52.8899993896484,0.29487179,"C/DH",2,"AL","26288",""
"7","Yordan Alvarez","19556","HOU","Astros",139,508,599,151,79,31,1,39,97,107,77,7,116,8,5,1,11,0,0,0.29789,0.39614,0.597827,0.993966,0.414482,0.129355,0.194152,0.666255,0.299936,2.34359,0.313312,NA,NA,120.776,47.8029,-0.41,-1.23356,-1.23356,5.58651,48.4155809879303,-12.7405578196049,169.186,NA,NA,NA,16.4699993133545,0.6460177,"DH/OF",21,"AL","19556",""
"8","Bobby Witt Jr.","25764","KCR","Royals",152,603,657,174,100,36,6,31,107,90,42,3,120,6,5,1,6,48,9,0.288384,0.337765,0.523705,0.861471,0.363106,0.0640379,0.182728,0.350456,0.235321,7.93023,0.312212,NA,NA,104.469,24.4094,-0.88,4.74822,4.74822,5.5533,27.2181696891785,6.14787018299103,128.541,NA,NA,NA,2.39000010490417,0.06289308,"SS",7,"AL","25764",""
"9","Corey Seager","13624","TEX","Rangers",128,492,559,147,83,31,1,31,82,93,55,5,90,5,4,1,11,2,1,0.298103,0.372495,0.558221,0.930716,0.390674,0.0991913,0.161637,0.613668,0.260118,2.65846,0.307671,NA,NA,101.624,33.5481,-0.05,-1.03538,-1.03538,5.47666,32.0456877946854,3.89330239221454,149.415,NA,NA,NA,32.2099990844727,0.05882353,"SS",13,"AL","13624",""
"10","Will Smith","19197","LAD","Dodgers",125,444,517,121,72,25,2,23,73,75,55,2,86,11,6,0,8,2,1,0.273112,0.363379,0.490177,0.853556,0.364948,0.106902,0.166301,0.642821,0.217064,3.22237,0.288946,NA,NA,82.9737,19.9933,8.98,-0.961803,-0.961803,5.45644,19.6367952227592,17.4774312973022,132.168,NA,NA,NA,84.5999984741211,0.112,"C",22,"NL","19197",""
"11","Julio Rodríguez","23697","SEA","Mariners",151,596,662,168,101,32,4,31,103,87,53,6,155,10,3,1,10,34,8,0.282737,0.349636,0.506852,0.856488,0.362872,0.0800814,0.234062,0.342138,0.224114,6.85079,0.332875,NA,NA,105.203,24.4824,-3.07,2.22387,2.22387,5.28918,31.4699339866638,-0.936882734298706,136.843,NA,NA,NA,3.10999989509583,0.01935484,"OF",11,"AL","23697",""
"12","Shohei Ohtani","19755","LAD","Dodgers",139,517,609,151,79,30,3,39,108,104,82,11,138,5,4,1,9,24,8,0.292413,0.391681,0.589034,0.980715,0.407225,0.134728,0.227307,0.592713,0.296621,5.89413,0.326919,NA,NA,119.092,44.9199,0,0.161922,0.161922,5.13202,45.7947382777929,-15.0623149871826,160.509,NA,NA,NA,12.3500003814697,0.85350318,"DH",22,"NL","19755",""
