"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",147.525,569.027,659.752,174.698,105.713,33.0547,2.60203,33.3283,121.847,90.2254,76.1778,4.18215,103.072,10.268,3.551,0.598764,10.2669,57.5572,13.6347,0.307011,0.396258,0.549958,0.946216,0.401378,0.115464,0.156228,0.739076,0.242947,7.0095,0.324109,NA,NA,125.867,45.48,5.03,4.30816,4.30816,6.7761,47.4626407623291,-1.98762321472168,152.799,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Mookie Betts","13611","LAD","Dodgers",149.154,567.751,661.068,161.481,88.8306,35.4007,2.66159,34.5879,105.03,101.64,79.8945,1.73534,102.082,7.94291,4.85336,0.625854,9.26749,14.1917,3.69799,0.284422,0.377502,0.538913,0.916415,0.388758,0.120857,0.15442,0.782647,0.254491,5.08409,0.291083,NA,NA,119.189,38.6417,1.04,-0.0703808,-0.0703808,6.55463,39.3454250097275,3.86380791664124,148.129,NA,NA,NA,4.80999994277954,0,"OF",22,"NL","13611",""
"3","Aaron Judge","15640","NYY","Yankees",138.278,496.602,600.98,138.22,69.0222,21.8735,0.543687,46.7802,101.704,112.51,95.1288,9.33168,160.602,4.89918,3.35065,0.452931,8.9758,7.55936,2.92298,0.278331,0.397092,0.607169,1.00426,0.416471,0.158289,0.267233,0.592327,0.328838,3.38686,0.312538,NA,NA,122.188,48.9618,-5.08,-0.952505,-0.952505,6.28442,50.7321800589561,-8.12197065353394,171.774,NA,NA,NA,12.8500003814697,0.34545455,"OF",9,"AL","15640",""
"4","Juan Soto","20123","NYY","Yankees",152.916,529.664,664.22,147.721,82.9843,27.1843,1.97629,35.5766,107.586,96.1054,125.739,9.01766,108.336,4.2484,3.8686,0.700046,15.0925,10.276,4.27561,0.278897,0.418539,0.539187,0.957726,0.406046,0.189303,0.163102,1.16064,0.260291,4.00847,0.287831,NA,NA,129.294,48.3628,-0.82,-1.32094,-1.32094,6.25882,50.0512846708298,-9.84568339586258,164.548,NA,NA,NA,9.93000030517578,0.0375,"OF",9,"AL","20123",""
"5","Adley Rutschman","26288","BAL","Orioles",142.983,517.956,602.375,140.272,91.3119,29.5757,1.66239,17.7223,75.9622,71.5208,74.538,2.89498,93.0642,5.31343,3.99715,0.570803,12.4928,2.50719,1.01428,0.270819,0.365773,0.436987,0.80276,0.34932,0.12374,0.154495,0.800931,0.166168,3.10817,0.298055,NA,NA,88.8768,15.481,12.46,-1.2232,-1.2232,5.6244,17.1586135625839,18.7853798866272,125.468,NA,NA,NA,53.8499984741211,0.29487179,"C/DH",2,"AL","26288",""
"6","Corey Seager","13624","TEX","Rangers",130.699,503.437,570.948,150.131,84.6018,31.8889,1.33411,32.3062,83.1137,94.6758,55.4796,5.54476,91.0348,5.61647,4.51967,0.522156,11.2755,1.68384,0.796931,0.298212,0.371191,0.559369,0.930559,0.390397,0.097171,0.159445,0.609432,0.261156,2.66489,0.306344,NA,NA,103.718,34.151,-0.05,-1.0795,-1.0795,5.5812,32.5942549705505,3.98391981050372,149.222,NA,NA,NA,30.3600006103516,0.05882353,"SS",13,"AL","13624",""
"7","Yordan Alvarez","19556","HOU","Astros",137.422,504.574,593.97,151.749,81.2188,31.8381,1.59616,37.0962,95.8756,103.599,75.5143,5.75155,113.923,8.34344,5.03751,0.500681,10.6471,0.302661,0.144206,0.300747,0.396999,0.590732,0.987732,0.413007,0.127135,0.191799,0.662854,0.289985,2.46573,0.319731,NA,NA,119.053,46.6816,-0.41,-1.22795,-1.22795,5.46813,47.2846364974976,-12.6223632395267,168.164,NA,NA,NA,15.9099998474121,0.6460177,"DH/OF",21,"AL","19556",""
"8","José Ramírez","13510","CLE","Guardians",150.822,574.906,655.092,160.462,92.5063,35.7686,4.42994,27.7567,94.8802,95.2509,68.7607,13.8595,71.7078,4.83536,6.00457,0.58538,7.50286,29.6478,9.33038,0.279109,0.357609,0.501578,0.859187,0.35967,0.104963,0.109462,0.958901,0.222469,5.99412,0.275638,NA,NA,102.286,22.4668,4.9,0.818361,0.818361,5.40287,26.2891175746918,5.64281916618347,132.449,NA,NA,NA,15.3000001907349,0.19871795,"3B",5,"AL","13510",""
"9","Julio Rodríguez","23697","SEA","Mariners",150.631,596.568,661.583,170.522,102.209,33.1964,3.3311,31.7852,103.053,89.542,51.3197,5.08366,156.784,9.91157,3.10606,0.678046,10.0344,34.0536,8.85557,0.285838,0.35066,0.512491,0.863151,0.365633,0.0775711,0.236983,0.327327,0.226654,6.54658,0.337473,NA,NA,106.576,25.9659,-3.07,1.85282,1.85282,5.39542,32.5758264064789,-0.939160346984863,138.757,NA,NA,NA,3.26999998092651,0.01935484,"OF",11,"AL","23697",""
"10","Fernando Tatis Jr.","19709","SDP","Padres",146.959,571.904,646.175,157.414,88.2194,32.1328,3.09407,33.9679,102.902,95.8569,63.057,2.26462,146.633,6.21166,4.17145,0.83091,10.3352,32.0329,8.08043,0.275246,0.351259,0.520435,0.871694,0.369421,0.0975851,0.226924,0.430034,0.245189,6.22429,0.312147,NA,NA,106.127,27.3939,4.78,1.79999,1.79999,5.20678,32.2236099243164,-2.02365732192993,138.005,NA,NA,NA,8.56999969482422,0.02027027,"SS/OF",29,"NL","19709",""
"11","Shohei Ohtani","19755","LAD","Dodgers",139.36,515.737,608.207,152.176,80.0585,27.2937,5.50399,39.3199,109.263,104.488,82.4867,12.9625,136.674,4.74689,3.79597,0.560462,9.08834,22.4555,10.7972,0.295066,0.394567,0.598052,0.992619,0.410684,0.135623,0.224717,0.603527,0.302987,6.38774,0.328511,NA,NA,120.734,46.6272,0,-1.25531,-1.25531,5.16054,46.0840866565704,-15.0543212890625,162.828,NA,NA,NA,11.1700000762939,0.85534591,"DH",22,"NL","19755",""
