"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"1","Spencer Strider","27498","ATL","Braves",14.6144,6.84795,29.632,29.632,0,0,NA,178.592,728.465,135.661,69.27,64.09,21.2652,257.048,56.7655,1.3417,7.05739,3.22976,1.07746,12.9537,2.86065,4.52824,1.07164,0.352862,0.0779249,0.274937503039837,NA,0.204111,0.296109,0.757163,2.99647,5.50408,4.83398,NA,NA,NA,13.5961,5.46000003814697,16,"NL","27498",""
"2","Zack Wheeler","10310","PHI","Phillies",12.8952,8.52479,29.944,29.944,0,0,NA,178.227,732.371,155.155,74.95,69.71,20.2342,187.772,46.1019,1.18,7.368,3.52018,1.12922,9.48199,2.32803,4.07297,1.02177,0.256389,0.0629488,0.193439833819866,NA,0.228538,0.286519,0.730396,3.52386,4.58847,4.09748,NA,NA,NA,13.5586,23.5799999237061,26,"NL","10310",""
"3","Logan Webb","17995","SFG","Giants",12.3178,9.15439,30.146,30.146,0,0,NA,178.374,738.401,173.713,76.51,70.56,14.2022,152.152,39.9889,1.00075,7.39525,3.56016,1.19806,7.67694,2.01767,3.80485,0.716584,0.206056,0.0541561,0.151899579912424,NA,0.251388,0.304026,0.707837,3.38105,4.30276,3.88038,NA,NA,NA,13.4983,50.4599990844727,30,"NL","17995",""
"4","Pablo López","17085","MIN","Twins",11.4679,9.41374,29.685,29.685,0,0,NA,171.965,714.312,151.702,75.05,69.55,19.5184,188.813,48.9654,1.36773,8.72798,3.63998,1.16691,9.88176,2.56266,3.85605,1.02152,0.264329,0.0685491,0.195779837667942,NA,0.231036,0.294864,0.724682,3.54111,4.1548,3.6834,NA,NA,NA,12.7196,34.4900016784668,8,"AL","17085",""
"5","Kevin Gausman","14107","TOR","Blue Jays",11.4674,9.22678,28.88,28.88,0,0,NA,173.569,718.736,153.662,80.06,74.44,23.1363,203.066,47.7113,0.999744,5.17686,3.85991,1.1602,10.5295,2.47396,4.25615,1.19968,0.282533,0.0663822,0.216150343418121,NA,0.230777,0.29689,0.717906,3.56215,4.13319,3.28903,NA,NA,NA,13.591,36.7400016784668,14,"AL","14107",""
"6","Freddy Peralta","18679","MIL","Brewers",11.1496,8.70676,28.36,28.36,0,0,NA,162.786,670.363,128.643,69.3,64.57,20.9533,193.924,55.6853,0.958036,7.58435,3.56989,1.13233,10.7215,3.07868,3.4825,1.15845,0.289283,0.0830674,0.206215053796768,NA,0.211899,0.274567,0.742147,3.7118,3.80843,3.71587,NA,NA,NA,11.8494,50.75,23,"NL","18679",""
"7","Aaron Nola","16149","PHI","Phillies",12.1044,9.28289,30.17,30.17,0,0,NA,178.094,732.423,162.35,83.44,77.17,25.6225,184.259,39.6559,1.12889,7.12058,3.89981,1.13427,9.31158,2.00402,4.64645,1.29484,0.251575,0.0541435,0.197431392967701,NA,0.236784,0.287384,0.713674,3.84408,3.78474,3.24237,NA,NA,NA,13.6759,52.9000015258789,26,"NL","16149",""
"8","George Kirby","25436","SEA","Mariners",10.9367,9.62286,29.766,29.766,0,0,NA,166.987,683.625,157.625,74.93,69.39,20.777,149.791,29.5762,1.17306,6.24652,3.73987,1.12105,8.07317,1.59405,5.06458,1.1198,0.219113,0.0432637,0.175848823040724,NA,0.243322,0.286752,0.710067,3.72207,3.7434,3.34247,NA,NA,NA,11.895,33.2700004577637,11,"AL","25436",""
"9","Luis Castillo","15689","SEA","Mariners",11.8261,9.76324,30.261,30.261,0,0,NA,180.144,750.514,155.732,81.02,74.86,21.9102,188.807,59.9547,1.03318,7.23829,3.74001,1.1973,9.43284,2.99535,3.14917,1.09463,0.251571,0.0798849,0.171685859560966,NA,0.227904,0.283158,0.727879,3.85898,3.69104,3.58863,NA,NA,NA,13.8623,28.7199993133545,11,"AL","15689",""
"10","Corbin Burnes","19361","BAL","Orioles",11.9215,9.28228,29.95,29.95,0,0,NA,175.747,734.48,155.437,77.94,72.64,20.5295,182.491,56.0558,0.982715,7.97914,3.7199,1.2034,9.34537,2.87062,3.25552,1.05132,0.248463,0.0763203,0.172142319381237,NA,0.231841,0.288618,0.730789,3.78994,3.69054,3.63578,NA,NA,NA,13.2719,19.6399993896484,2,"AL","19361",""
"11","Zac Gallen","19291","ARI","Diamondbacks",11.7382,9.37885,30.013,30.013,0,0,NA,174.736,730.747,163.014,81.41,75.72,21.2304,176.925,47.5227,1.02782,7.35987,3.90006,1.20489,9.11277,2.44772,3.72296,1.0935,0.242116,0.065033,0.177082605659962,NA,0.241194,0.296799,0.714141,3.75175,3.68668,3.25031,NA,NA,NA,13.1903,40.5999984741211,15,"NL","19291",""
"12","Max Fried","13743","ATL","Braves",11.9528,6.67219,27.321,27.321,0,0,NA,150.73,618.785,136.014,61.64,57.28,15.1283,144.821,36.8119,1.23331,5.1644,3.42016,1.1466,8.64718,2.19802,3.93408,0.9033,0.234041,0.0594907,0.174550220370293,NA,0.235805,0.289992,0.733193,3.47367,3.68085,3.64889,NA,NA,NA,10.2812,59.0200004577637,16,"NL","13743",""
"13","Tarik Skubal","22267","DET","Tigers",9.39095,8.95312,27.788,27.788,0,0,NA,142.497,587.413,121.519,60.09,55.57,16.7217,163.947,41.9517,0.923464,5.29222,3.50976,1.14719,10.3548,2.64964,3.90799,1.05613,0.2791,0.0714177,0.207682088017464,NA,0.224964,0.291507,0.738115,3.47413,3.51676,3.24086,NA,NA,NA,8.67228,45.7700004577637,6,"AL","22267",""
"14","Dylan Cease","18525","SDP","Padres",11.6454,9.86641,30.12,30.12,0,0,NA,180.569,770.065,152.462,86.95,81.26,22.3618,206.071,78.5412,2.29542,8.32008,4.05019,1.2793,10.2711,3.91467,2.62373,1.11456,0.267602,0.101993,0.165609024465084,NA,0.223157,0.286078,0.72136,4.02563,3.49118,3.02666,NA,NA,NA,14.2308,100.139999389648,29,"NL","18525",""
"15","Framber Valdez","17295","HOU","Astros",12.5678,8.16903,29.447,29.447,0,0,NA,171.293,723.258,156.652,75.26,69.47,15.45,168.625,60.6077,1.03935,9.86519,3.65006,1.26835,8.8598,3.18442,2.78223,0.811767,0.233146,0.0837982,0.149347826838493,NA,0.239975,0.301257,0.72586,3.693,3.43907,3.61672,NA,NA,NA,12.745,55.9099998474121,21,"AL","17295",""
"16","Blake Snell","13543","SFG","Giants",10.2119,9.37077,28.07,28.07,0,0,NA,161.29,690.835,135.9,79.3,73.48,18.5299,205.705,76.5827,0.999629,4.55585,4.10019,1.31739,11.4783,4.27332,2.68605,1.03397,0.297762,0.110855,0.186907038092613,NA,0.222898,0.304492,0.71396,3.70699,3.41052,2.52585,NA,NA,NA,12.1034,72.75,30,"NL","13543",""
"17","Justin Steele","17312","CHC","Cubs",10.4575,9.55404,29.071,29.071,0,0,NA,162.652,688.915,156.489,77.73,71.75,17.3419,155.496,51.7268,0.99738,7.09604,3.97013,1.28013,8.60404,2.86219,3.00611,0.959575,0.225712,0.0750844,0.150627553462982,NA,0.248359,0.30431,0.709404,3.81403,3.33855,2.76078,NA,NA,NA,11.6986,95.1900024414062,17,"NL","17312",""
"18","Jesús Luzardo","19959","MIA","Marlins",9.95507,9.94348,28.862,28.862,0,0,NA,161.887,688.129,148.77,79.79,73.57,21.476,183.109,56.5633,1.24034,6.73522,4.09008,1.26838,10.1798,3.1446,3.23725,1.19395,0.266097,0.0821986,0.183898732066154,NA,0.238097,0.302905,0.716299,3.89046,3.31082,2.48934,NA,NA,NA,11.764,78.9300003051758,20,"NL","19959",""
"19","Grayson Rodriguez","24492","BAL","Orioles",10.3801,9.0926,28.454,28.454,0,0,NA,157.379,665.21,143.627,72.92,67.85,18.2029,162.538,54.2895,0.98468,6.49385,3.88012,1.25758,9.29501,3.10464,2.99391,1.04096,0.24434,0.0816126,0.162727832794189,NA,0.237625,0.29603,0.724901,3.85177,3.27092,2.88038,NA,NA,NA,11.0802,64.7799987792969,2,"AL","24492",""
"20","Zach Eflin","13774","TBR","Rays",10.1192,8.83642,28.268,28.268,0,0,NA,150.188,612.963,135.433,65.51,60.58,19.176,141.31,31.2697,1.29186,5.44245,3.63025,1.10996,8.46798,1.87383,4.51907,1.14912,0.230536,0.051014,0.179521825164557,NA,0.235024,0.279621,0.723547,3.76643,3.26961,3.14578,NA,NA,NA,9.79263,76.379997253418,12,"AL","13774",""
"21","Joe Ryan","21390","MIN","Twins",10.1568,9.42089,28.019,28.019,0,0,NA,161.081,666.713,137.251,76.75,71.59,25.9799,178.902,45.8776,0.91199,7.27759,3.99991,1.13687,9.9957,2.5633,3.89955,1.45156,0.268335,0.0688117,0.19952292740345,NA,0.223696,0.272271,0.724862,4.12044,3.18555,2.73163,NA,NA,NA,12.0305,86,8,"AL","21390",""
"22","Tanner Bibee","30134","CLE","Guardians",10.1351,9.32273,28.087,28.087,0,0,NA,158.663,660.691,141.259,73.75,68.4,20.0725,150.541,46.369,0.86912,6.41078,3.87991,1.18256,8.53929,2.63023,3.24659,1.13859,0.227854,0.0701826,0.157671846449375,NA,0.232368,0.277127,0.713851,4,3.13241,2.91002,NA,NA,NA,11.5023,103.639999389648,5,"AL","30134",""
"23","Mitch Keller","17594","PIT","Pirates",9.96992,11.1083,30.022,30.022,0,0,NA,175.599,763.199,181.292,96.41,89.75,20.4672,166.834,60.3862,1.17169,9.22408,4.59998,1.37631,8.55078,3.09499,2.76278,1.04901,0.218598,0.0791224,0.139475829899311,NA,0.261383,0.317656,0.681934,4.05935,3.0687,1.79778,NA,NA,NA,13.8218,157.559997558594,27,"NL","17594",""
"24","Yoshinobu Yamamoto","33825","LAD","Dodgers",10.4527,6.86699,26.486,26.486,0,0,NA,137.33,570.036,124.774,62.32,57.83,15.4872,130.07,36.6771,0.711122,5.36868,3.78992,1.17564,8.5242,2.40366,3.54635,1.01496,0.228178,0.0643417,0.163836129009724,NA,0.236318,0.285766,0.709249,3.74533,3.01444,2.6905,NA,NA,NA,8.69601,999,22,"NL","33825",""
"25","Tyler Glasnow","14374","LAD","Dodgers",9.76366,6.3518,24.424,24.424,0,0,NA,128.519,529.56,106.061,58.33,54.41,17.3959,162.757,41.3392,0.690672,3.86284,3.81025,1.14691,11.3976,2.89492,3.93711,1.21821,0.307344,0.0780632,0.229280591011047,NA,0.218972,0.291465,0.723877,3.53701,3.01028,2.57394,NA,NA,NA,8.351,39.060001373291,22,"NL","14374",""
"26","Logan Gilbert","22250","SEA","Mariners",10.5194,10.6362,30.573,30.573,0,0,NA,172.951,724.924,166.553,87.3,80.9,25.023,161.982,43.9554,1.6463,6.29041,4.20985,1.21716,8.42918,2.28734,3.68514,1.30214,0.223447,0.0606346,0.162812620401382,NA,0.246864,0.290216,0.702138,4.13431,2.98733,2.49907,NA,NA,NA,12.797,61.4300003051758,11,"AL","22250",""
"27","Michael King","19853","SDP","Padres",9.02834,8.39766,23.907,32.649,0,0.6036,NA,139.565,586.51,125.18,63.34,58.85,15.7836,150.374,44.9428,1.19103,7.54676,3.79501,1.21895,9.69703,2.89819,3.3459,1.01783,0.256388,0.0766276,0.179760321974754,NA,0.234411,0.297384,0.72138,3.69862,2.94409,2.68381,NA,NA,NA,6.95677,133.509994506836,29,"NL","19853",""
"28","Sonny Gray","12768","STL","Cardinals",9.83843,8.57757,27.486,27.486,0,0,NA,146.418,618.268,132.671,67.36,62.63,15.139,138.06,50.9346,0.830481,7.15007,3.84973,1.25398,8.48626,3.13084,2.71054,0.93056,0.223301,0.0823827,0.140918515622616,NA,0.236834,0.288786,0.715748,3.90346,2.92334,2.7705,NA,NA,NA,9.72814,128.009994506836,28,"NL","12768",""
"29","Shane Bieber","19427","CLE","Guardians",9.37066,8.91508,26.458,26.458,0,0,NA,148.932,619.428,141.105,70.9,65.53,18.9915,134.129,37.3298,0.784874,4.98363,3.95999,1.1981,8.10546,2.25585,3.59309,1.14766,0.216537,0.0602649,0.15627222135663,NA,0.244501,0.288008,0.70818,3.9639,2.8139,2.555,NA,NA,NA,10.7943,143.190002441406,5,"AL","19427",""
"30","Chris Sale","10603","ATL","Braves",9.40746,6.58071,24.36,24.36,0,0,NA,126.94,532.823,110.608,59.54,55.01,17.12,152.716,40.9797,0.902061,7.602,3.90019,1.19417,10.8275,2.90544,3.72663,1.2138,0.286617,0.0769104,0.209706217050552,NA,0.228415,0.297349,0.721266,3.75033,2.73594,2.23037,NA,NA,NA,8.16837,108.529998779297,16,"NL","10603",""
"31","Joe Musgrove","12970","SDP","Padres",9.28901,8.00938,25.465,25.465,0,0,NA,138.937,577.526,123.253,63.34,59.13,17.7701,136.094,37.4106,1.25693,8.89184,3.8303,1.15637,8.81582,2.42337,3.63784,1.1511,0.235649,0.0647773,0.170872189104557,NA,0.232016,0.279528,0.716745,3.95846,2.73497,2.72123,NA,NA,NA,9.56103,92.7799987792969,29,"NL","12970",""
"32","Bobby Miller","27483","LAD","Dodgers",10.5821,7.28466,26.678,26.678,0,0,NA,144.115,606.516,135.254,70.26,65.49,17.5843,138.147,42.5046,0.780484,6.82345,4.08987,1.23346,8.62729,2.65443,3.25015,1.09815,0.227771,0.07008,0.157690823078156,NA,0.242745,0.293108,0.701961,3.95093,2.71702,2.3261,NA,NA,NA,9.93237,67.25,22,"NL","27483",""
"33","Cole Ragans","21846","KCR","Royals",9.00674,9.70782,27.874,27.874,0,0,NA,148.29,636.127,137.045,73.75,68.54,17.9407,152.527,58.9881,0.961728,5.45244,4.15983,1.32196,9.25716,3.58011,2.58572,1.08886,0.239774,0.09273,0.147044114768505,NA,0.239721,0.296857,0.715457,4.07436,2.71531,2.18114,NA,NA,NA,10.0334,80.9000015258789,7,"AL","21846",""
"34","Carlos Rodón","16137","NYY","Yankees",9.67611,7.61893,24.845,24.845,0,0,NA,142.66,600.342,121.157,70.26,65.62,20.7236,162.197,51.5476,0.886689,6.64478,4.13977,1.2106,10.2325,3.25199,3.14655,1.30739,0.270174,0.0858637,0.184310421347618,NA,0.223476,0.279581,0.712948,4.09332,2.70231,2.26059,NA,NA,NA,10.719,141.190002441406,9,"AL","16137",""
"35","Bailey Ober","21224","MIN","Twins",9.1292,9.54112,27.729,27.729,0,0,NA,148.489,617.457,136.64,73.41,68.3,23.7068,144.028,36.9261,0.894846,5.16354,4.13971,1.16888,8.72963,2.23811,3.90044,1.43689,0.23326,0.0598035,0.173456583172083,NA,0.237483,0.277047,0.713482,4.24098,2.62874,2.28277,NA,NA,NA,10.1338,124.360000610352,8,"AL","21224",""
"36","Jordan Montgomery","16511",NA,NA,8.93381,8.99223,26.045,26.045,0,0,NA,146.138,621.123,148.046,75.52,69.98,18.6423,127.452,40.5575,0.849321,4.89763,4.30975,1.29058,7.84917,2.49775,3.14249,1.14809,0.205195,0.065297,0.139898397028446,NA,0.257173,0.301238,0.695881,4.10226,2.55213,1.85005,NA,NA,NA,10.7581,167.429992675781,-1,NA,"16511",""
"37","Hunter Brown","25880","HOU","Astros",11.2656,8.57374,26.014,29.84,0,0.652,NA,146.736,624.054,135.492,72.1,67.1,18.0104,152.399,53.8118,0.829725,6.92379,4.11555,1.2901,9.34731,3.30053,2.83206,1.10466,0.244207,0.0862294,0.157977804541588,NA,0.240524,0.299004,0.714268,4.01521,2.54892,2.27477,NA,NA,NA,10.6036,163.320007324219,21,"AL","25880",""
"38","Merrill Kelly","11156","ARI","Diamondbacks",10.1112,10.2226,29.759,29.759,0,0,NA,165.222,711.356,160.094,88.82,82.79,22.5293,156.406,62.4381,1.43057,5.34071,4.50975,1.34687,8.51977,3.40114,2.50498,1.22722,0.21987,0.0877733,0.132096849381924,NA,0.248757,0.296066,0.700096,4.3651,2.44911,1.78309,NA,NA,NA,12.1315,141.160003662109,15,"NL","11156",""
"39","Sean Manaea","15873","NYM","Mets",7.49984,8.43026,22.033,25.404,0,0,NA,135.992,575.574,124.394,67.14,62.32,19.3389,142.244,46.4269,1.32392,5.76249,4.12436,1.25611,9.41376,3.07255,3.06382,1.27985,0.247134,0.080662,0.166472114622593,NA,0.237672,0.290367,0.721276,4.16308,2.36095,2.06997,NA,NA,NA,6.83317,322.440002441406,25,"NL","15873",""
