"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",157,577,679,176,98,34,2,42,138,114,87,4,113,11,4,0,NA,50,10,0.304274,0.402616,0.589744,0.99236,0.417273,0.127907,0.165698,0.77193,0.28547,6.82681,0.3125,0,NA,138.502,55.7701,1.8225,4.42576,4.42576,7.50633,57.8024644851685,-5.65249991416931,163.455,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Aaron Judge","15640","NYY","Yankees",152,550,658,149,77,24,0,48,106,120,100,11,178,4,5,0,NA,6,1,0.27115,0.384058,0.574837,0.958895,0.399217,0.152174,0.269928,0.563758,0.303688,3.02278,0.307971,0,NA,124.351,44.1779,7.047,-0.624517,-0.624517,7.2283,46.5346819758415,3.59700012207031,159.815,NA,NA,NA,11.3699998855591,0.34545455,"OF",9,"AL","15640",""
"3","Juan Soto","20123","NYY","Yankees",157,538,679,148,87,26,1,34,104,106,135,13,111,3,3,0,NA,11,4,0.275335,0.421212,0.516252,0.937464,0.398931,0.198485,0.163636,1.21296,0.240918,3.72213,0.288312,0,NA,128.159,45.4266,-2.13371,-1.10653,-1.10653,5.88906,47.3965132236481,-11.4087109565735,159.617,NA,NA,NA,10.7299995422363,0.0375,"OF",9,"AL","20123",""
"4","Mookie Betts","13611","LAD","Dodgers",157,575,679,160,91,35,2,32,117,105,90,3,106,8,5,0,NA,13,3,0.278182,0.380586,0.514546,0.895131,0.381823,0.132512,0.155624,0.851485,0.236364,4.98755,0.288416,0,NA,118.511,35.7792,-3.40653,-0.248736,-0.248736,5.88533,36.325597256422,-0.431531429290771,143.48,NA,NA,NA,5.09999990463257,0,"OF",22,"NL","13611",""
"5","Fernando Tatis Jr.","19709","SDP","Padres",156,598,672,160,85,34,2,39,110,109,65,2,152,4,4,1,NA,28,4,0.268468,0.341894,0.527928,0.869822,0.367266,0.0961538,0.225962,0.425532,0.259459,6.07416,0.295812,0,NA,109.166,27.2864,9.55116,2.61182,2.61182,5.8123,33.0489678382874,2.35115528106689,136.561,NA,NA,NA,8.02999973297119,0.02054795,"SS/OF",29,"NL","19709",""
"6","Yordan Alvarez","19556","HOU","Astros",141,519,609,155,82,32,2,39,99,117,75,8,120,10,5,0,NA,1,1,0.298137,0.393298,0.592133,0.985431,0.410798,0.123457,0.197531,0.625,0.293996,2.98507,0.317647,0,NA,120.949,46.7455,0,-1.46336,-1.46336,5.51695,47.1594833135605,-12.5249996185303,166.633,NA,NA,NA,16.4699993133545,0.6460177,"DH/OF",21,"AL","19556",""
"7","Julio Rodríguez","23697","SEA","Mariners",156,612,672,168,103,31,2,32,100,104,48,5,157,10,2,0,NA,34,9,0.274062,0.33581,0.487765,0.823575,0.350166,0.0713224,0.233284,0.305732,0.213703,6.01455,0.319249,0,NA,99.6217,17.7424,4.55625,1.79662,1.79662,5.38067,24.3710876703262,6.75625014305115,128.036,NA,NA,NA,3.10999989509583,0.01935484,"OF",11,"AL","23697",""
"8","Trea Turner","16252","PHI","Phillies",157,623,679,180,116,35,4,25,102,88,47,1,133,5,4,0,NA,28,2,0.289517,0.341985,0.479201,0.821186,0.351308,0.0687023,0.19542,0.351562,0.189684,6.66296,0.331126,0,NA,101.304,18.5716,1.59264,3.4368,3.4368,5.22046,20.3588888645172,8.86763525009155,120.117,NA,NA,NA,11.9700002670288,0.01290323,"SS",26,"NL","16252",""
"9","Francisco Lindor","12916","NYM","Mets",156,592,672,150,93,28,3,26,96,93,63,2,126,9,6,1,NA,21,4,0.253076,0.331783,0.442882,0.774665,0.333637,0.0944272,0.187307,0.504132,0.189807,5.81297,0.277389,0,NA,90.3972,8.51791,8.60544,1.14634,1.14634,5.08143,12.2652853727341,15.8054399490356,113.356,NA,NA,NA,22.7900009155273,0.00628931,"SS",25,"NL","12916",""
"10","José Ramírez","13510","CLE","Guardians",154,585,665,162,92,39,4,27,92,97,70,16,78,4,6,0,NA,23,5,0.276708,0.354391,0.49387,0.848262,0.35413,0.104777,0.117103,0.894737,0.217163,5.75248,0.277895,0,NA,100.773,19.747,3.7638,1.19337,1.19337,5.05793,23.9898068904877,4.13879990577698,128.61,NA,NA,NA,15.9799995422363,0.19871795,"3B",5,"AL","13510",""
"11","Andrés Giménez","19950","CLE","Guardians",151,582,651,158,107,30,4,17,79,79,37,3,121,24,3,4,NA,28,6,0.271511,0.339071,0.424474,0.763545,0.3313,0.0564103,0.186325,0.302752,0.152964,6.32638,0.31592,0,NA,86.3085,6.98796,13.9757,1.9466,1.9466,5.02963,11.9197635650635,16.4006977081299,112.786,NA,NA,NA,100.480003356934,0,"2B",5,"AL","19950",""
"12","Corbin Carroll","25878","ARI","Diamondbacks",157,594,679,161,101,29,10,21,105,93,64,2,146,14,3,4,NA,42,5,0.271583,0.35443,0.460432,0.814862,0.351468,0.0943396,0.215409,0.437956,0.188849,8.43171,0.325871,0,NA,101.394,18.6616,10.5114,4.70876,4.70876,4.90975,21.9742259979248,4.13639068603516,120.525,NA,NA,NA,6.05999994277954,0.01621622,"OF",15,"NL","25878",""
"13","Gunnar Henderson","26289","BAL","Orioles",143,540,616,141,83,26,7,25,99,90,65,1,152,6,5,0,NA,12,4,0.26025,0.34375,0.472371,0.816121,0.349843,0.10625,0.246875,0.43038,0.212121,6.32465,0.314136,0,NA,91.155,16.099,4.50189,-0.494173,-0.494173,4.88639,18.5712944865227,9.5018949508667,125.831,NA,NA,NA,33,0.06179775,"3B/SS",2,"AL","26289",""
"14","Alex Bregman","17678","HOU","Astros",157,577,679,154,95,33,2,23,95,92,89,2,85,8,5,0,NA,2,1,0.266304,0.369231,0.451087,0.820318,0.356338,0.130769,0.124615,1.04938,0.184783,3.12517,0.27533,0,NA,104.14,21.408,1.36605,-1.48796,-1.48796,4.85363,22.0131431818008,3.5910542011261,128.886,NA,NA,NA,97.2600021362305,0.00621118,"3B",21,"AL","17678",""
"15","Austin Riley","18360","ATL","Braves",157,603,679,170,100,33,2,35,100,107,57,3,162,11,7,0,NA,2,1,0.281787,0.351145,0.5189,0.870045,0.368058,0.0839695,0.238168,0.352564,0.237113,3.20146,0.325815,0,NA,110.749,28.0171,-1.53474,-1.29289,-1.29289,4.80111,24.3308573961258,0.690263271331787,130.462,NA,NA,NA,18.9699993133545,0,"3B",16,"NL","18360",""
"16","Adley Rutschman","26288","BAL","Orioles",146,504,586,134,80,34,1,18,78,70,73,3,89,5,4,0,NA,2,1,0.265594,0.361592,0.44668,0.808272,0.350084,0.124567,0.152249,0.818182,0.181087,2.87034,0.288608,0,NA,86.7735,15.4215,4.44,-1.21675,-1.21675,4.76761,17.024869799614,10.8899998664856,125.997,NA,NA,NA,52.8899993896484,0.29487179,"C/DH",2,"AL","26288",""
"17","Corey Seager","13624","TEX","Rangers",130,496,560,146,88,31,1,26,82,85,54,7,89,5,5,0,NA,2,1,0.294715,0.366906,0.520325,0.887232,0.374044,0.0971223,0.158273,0.613636,0.22561,2.90227,0.310705,0,NA,94.1235,25.8908,-0.555429,-1.10095,-1.10095,4.66606,24.321781039238,3.44457143545151,137.888,NA,NA,NA,32.2099990844727,0.05882353,"SS",13,"AL","13624",""
"18","Mike Trout","10155","LAA","Angels",146,533,630,137,73,28,2,35,96,99,84,8,176,10,3,0,NA,3,2,0.256966,0.366492,0.510836,0.877328,0.371347,0.133508,0.280105,0.476635,0.25387,3.42793,0.314721,0,NA,104.478,27.7163,-0.819101,-1.25632,-1.25632,4.60144,26.3090847730637,-1.56910115480423,136.517,NA,NA,NA,71.0800018310547,0.02469136,"OF",1,"AL","10155",""
"19","Kyle Tucker","18345","HOU","Astros",157,597,679,164,91,38,4,30,94,111,74,7,103,2,7,0,NA,25,4,0.274545,0.353035,0.505455,0.85849,0.362343,0.108626,0.151757,0.715789,0.230909,5.86952,0.284065,0,NA,107.527,24.7945,1.63705,1.9213,1.9213,4.60102,28.8088984489441,-5.73794734477997,133.048,NA,NA,NA,6.55999994277954,0.02547771,"OF",21,"AL","18345",""
"20","Luis Robert Jr.","20043","CHW","White Sox",149,595,644,159,90,34,1,33,91,106,36,4,161,11,2,0,NA,20,5,0.266932,0.3186,0.496016,0.814616,0.34472,0.0552486,0.25046,0.220588,0.229084,5.32266,0.311765,0,NA,92.5583,14.0907,6.30192,1.00658,1.00658,4.58045,15.6518414020538,8.4019238948822,118.979,NA,NA,NA,34,0,"OF",4,"AL","20043",""
"21","Marcus Semien","12533","TEX","Rangers",157,609,679,161,98,35,3,25,103,90,64,1,107,3,3,0,NA,11,2,0.265176,0.336676,0.456869,0.793545,0.341659,0.0945559,0.157593,0.6,0.191693,5.22525,0.283976,0,NA,95.8626,13.1304,7.65024,0.0522169,0.0522169,4.56306,12.615072581917,10.0752370357513,115.441,NA,NA,NA,30.8099994659424,0,"2B/SS",13,"AL","12533",""
"22","Freddie Freeman","5361","LAD","Dodgers",157,591,679,177,109,40,2,26,111,96,75,11,109,9,4,0,NA,14,1,0.299308,0.384036,0.50346,0.887496,0.376506,0.10994,0.161145,0.682243,0.204152,5.3387,0.328889,0,NA,115.513,32.7809,-0.316389,1.02915,1.02915,4.51618,34.6051454544067,-12.4413892626762,139.915,NA,NA,NA,8.78999996185303,0,"1B",22,"NL","5361",""
"23","Dansby Swanson","18314","CHC","Cubs",154,595,665,151,97,29,2,23,89,81,61,1,161,5,4,0,NA,9,3,0.254417,0.327014,0.427562,0.754576,0.326809,0.0916272,0.241706,0.379085,0.173145,4.46039,0.308861,0,NA,85.6843,4.65791,10.8453,-0.685825,-0.685825,4.40802,3.5856094956398,17.9703016281128,105.185,NA,NA,NA,119.949996948242,0,"SS",17,"NL","18314",""
"24","Bryce Harper","11579","PHI","Phillies",146,528,630,148,81,36,1,30,97,92,91,12,134,5,6,0,NA,13,4,0.280973,0.387755,0.526549,0.914304,0.384409,0.144712,0.213358,0.678261,0.245575,4.34248,0.31962,0,NA,111.312,34.5504,0.432,-0.17843,-0.17843,4.30586,32.841517329216,-11.1180001795292,142.307,NA,NA,NA,17.7399997711182,0.712,"OF",26,"NL","11579",""
"25","Bobby Witt Jr.","25764","KCR","Royals",156,617,672,170,101,35,7,26,97,97,41,1,127,6,7,1,NA,35,10,0.274797,0.32287,0.481301,0.804171,0.34124,0.061194,0.189552,0.322835,0.206504,7.17767,0.304904,0,NA,94.6406,12.7613,0.613895,1.65148,1.65148,4.29532,12.4292304515839,7.81389456987381,113.385,NA,NA,NA,2.39000010490417,0.06289308,"SS",7,"AL","25764",""
"26","Royce Lewis","20437","MIN","Twins",138,541,595,145,87,31,3,24,87,94,46,0,140,5,3,0,NA,15,4,0.26817,0.330296,0.471178,0.801474,0.343656,0.0774487,0.234624,0.330097,0.203008,5.51255,0.317857,0,NA,84.9901,12.4928,5.74392,0.20038,0.20038,4.24052,14.8408064991236,7.4689222574234,120.535,NA,NA,NA,54.7400016784668,0.15254237,"3B",8,"AL","20437",""
"27","Willy Adames","15986","MIL","Brewers",149,573,644,143,79,34,1,29,85,92,65,2,167,3,3,0,NA,5,3,0.249548,0.327974,0.464738,0.792712,0.339401,0.101286,0.258842,0.391304,0.21519,3.34052,0.299727,0,NA,89.7134,11.2458,5.10137,-1.39252,-1.39252,4.23437,8.5283534526825,12.0013689994812,112.435,NA,NA,NA,182.660003662109,0.01342282,"SS",23,"NL","15986",""
"28","Will Smith","19197","LAD","Dodgers",130,437,514,113,70,22,2,19,69,72,57,3,87,13,8,0,NA,2,1,0.259023,0.354955,0.452229,0.807184,0.347447,0.10991,0.169369,0.648936,0.193206,3.21998,0.276712,0,NA,75.0966,12.42,4.13463,-1.07026,-1.07026,4.22868,11.9521247148514,12.9346270561218,120.435,NA,NA,NA,84.5999984741211,0.112,"C",22,"NL","19197",""
"29","Nico Hoerner","21479","CHC","Cubs",152,597,658,165,122,27,3,12,83,72,43,2,79,12,4,1,NA,31,5,0.275862,0.334983,0.392015,0.726998,0.317885,0.0658979,0.120264,0.547945,0.116152,6.23653,0.299363,0,NA,79.906,-0.267481,15.3309,2.6465,2.6465,4.20691,1.99661964178085,17.7808916568756,99.2028,NA,NA,NA,64.8199996948242,0.00641026,"2B/SS",17,"NL","21479",""
"30","Bo Bichette","19612","TOR","Blue Jays",149,602,644,175,117,33,2,24,88,91,36,0,124,3,3,0,NA,11,4,0.291531,0.333333,0.470684,0.804017,0.344707,0.0563166,0.193303,0.291339,0.179153,4.53223,0.332618,0,NA,92.5511,14.0835,-2.68272,-0.69931,-0.69931,4.17675,15.7881355285645,4.21728014945984,121.367,NA,NA,NA,37.0200004577637,0.03703704,"SS",14,"AL","19612",""
"31","Manny Machado","11493","SDP","Padres",156,602,672,162,100,31,1,29,89,103,61,6,123,2,7,0,NA,7,2,0.268519,0.334992,0.468518,0.80351,0.341432,0.0912106,0.182421,0.5,0.2,3.65155,0.290244,0,NA,94.7474,12.8681,4.12238,-0.822764,-0.822764,4.08902,15.1960998773575,2.92238306999207,119.242,NA,NA,NA,64.2300033569336,0.23913043,"3B",29,"NL","11493",""
"32","Jose Altuve","5417","HOU","Astros",147,568,637,157,99,33,1,24,104,81,61,1,99,6,2,0,NA,12,2,0.277185,0.351711,0.466951,0.818662,0.353009,0.095057,0.155894,0.609756,0.189765,5.01185,0.298103,0,NA,95.9373,18.3225,-3.21508,0.130727,0.130727,4.00061,20.4168978780508,-1.94007682800293,126.578,NA,NA,NA,42.9199981689453,0.01136364,"2B",21,"AL","5417",""
"33","Michael Harris II","25931","ATL","Braves",146,586,630,163,102,36,3,22,88,86,33,1,130,7,3,1,NA,23,4,0.27881,0.322357,0.462825,0.785182,0.335639,0.0519031,0.205882,0.252101,0.184015,6.12443,0.323383,0,NA,85.7951,9.03322,7.64193,1.65427,1.65427,3.97034,8.46684515476227,9.89193105697632,108.729,NA,NA,NA,29.0200004577637,0,"OF",16,"NL","25931",""
