"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"1","Ronald Acuña Jr.","18401","ATL","Braves",152,585,688,178,99,34,2,43,140,116,88,4,114,11,4,0,9,51,10,0.304274,0.402616,0.589744,0.99236,0.417273,0.127907,0.165698,0.77193,0.28547,6.82681,0.3125,NA,NA,140.338,56.5093,1.8,4.48443,4.48443,7.60856,58.5686197280884,-5.70000004768372,163.455,NA,NA,NA,1.01999998092651,0.01265823,"OF",16,"NL","18401",""
"2","Juan Soto","20123","NYY","Yankees",152,523,660,144,85,25,1,33,101,103,131,13,108,3,3,0,16,11,4,0.275335,0.421212,0.516252,0.937465,0.398931,0.198485,0.163636,1.21296,0.240918,3.72213,0.288312,NA,NA,124.573,44.1555,-2.6,-1.07557,-1.07557,5.84536,46.0702530145645,-9.87513208389282,159.617,NA,NA,NA,10.7299995422363,0.0375,"OF",9,"AL","20123",""
"3","Aaron Judge","15640","NYY","Yankees",128,461,552,125,65,20,0,40,89,101,84,9,149,3,4,0,11,5,1,0.27115,0.384058,0.574837,0.958895,0.399217,0.152174,0.269928,0.563758,0.303688,3.02278,0.307971,NA,NA,104.319,37.0611,6.4,-0.523911,-0.523911,5.79441,39.0382116436958,0.315343856811523,159.815,NA,NA,NA,11.3699998855591,0.34545455,"OF",9,"AL","15640",""
"4","Mookie Betts","13611","LAD","Dodgers",143,550,649,153,87,33,2,31,112,100,86,3,101,8,5,0,5,12,3,0.278182,0.380586,0.514545,0.895131,0.381823,0.132512,0.155624,0.851485,0.236364,4.98755,0.288416,NA,NA,113.275,34.1984,-3.1,-0.237746,-0.237746,5.5951,34.7206279188395,-0.715373277664185,143.48,NA,NA,NA,5.09999990463257,0,"OF",22,"NL","13611",""
"5","Fernando Tatis Jr.","19709","SDP","Padres",142,555,624,149,79,32,2,36,102,101,60,2,141,4,4,1,12,26,4,0.268468,0.341894,0.527928,0.869822,0.367266,0.0961538,0.225962,0.425532,0.259459,6.07416,0.295812,NA,NA,101.368,25.3373,9.2,2.42527,2.42527,5.41095,30.6883194446564,2.321692943573,136.561,NA,NA,NA,8.02999973297119,0.02054795,"SS/OF",29,"NL","19709",""
"6","Julio Rodríguez","23697","SEA","Mariners",152,613,673,168,103,31,2,32,100,104,48,5,157,10,2,0,11,34,9,0.274062,0.33581,0.487765,0.823575,0.350165,0.0713224,0.233284,0.305732,0.213703,6.01455,0.319249,NA,NA,99.77,17.7688,4.5,1.7993,1.7993,5.40927,24.4073439836502,6.97281002998352,128.036,NA,NA,NA,3.10999989509583,0.01935484,"OF",11,"AL","23697",""
"7","Adley Rutschman","26288","BAL","Orioles",135,497,578,132,79,34,1,18,77,69,72,3,88,5,4,0,8,2,1,0.265594,0.361592,0.44668,0.808272,0.350084,0.124567,0.152249,0.818182,0.181087,2.87034,0.288608,NA,NA,85.6473,15.2214,5,-1.20096,-1.20096,5.19136,16.803915143013,15.6187534332275,125.997,NA,NA,NA,52.8899993896484,0.29487179,"C/DH",2,"AL","26288",""
"8","José Ramírez","13510","CLE","Guardians",150,571,649,158,90,38,4,26,90,95,68,16,76,4,6,0,8,22,5,0.276708,0.354391,0.49387,0.848262,0.35413,0.104777,0.117103,0.894737,0.217163,5.75248,0.277895,NA,NA,98.3488,19.2719,4.1,1.16466,1.16466,5.18008,23.4126113653183,6.48462653160095,128.61,NA,NA,NA,15.9799995422363,0.19871795,"3B",5,"AL","13510",""
"9","Trea Turner","16252","PHI","Phillies",148,601,655,174,112,34,4,24,98,85,45,1,128,5,4,0,12,27,2,0.289517,0.341985,0.479201,0.821186,0.351308,0.0687023,0.19542,0.351562,0.189684,6.66296,0.331126,NA,NA,97.7231,17.9151,1.5,3.31532,3.31532,5.05247,19.6392822265625,8.7200174331665,120.117,NA,NA,NA,11.9700002670288,0.01290323,"SS",26,"NL","16252",""
"10","Francisco Lindor","12916","NYM","Mets",150,569,646,144,89,27,3,25,92,89,61,2,121,9,6,1,10,20,4,0.253076,0.331783,0.442882,0.774665,0.333637,0.0944272,0.187307,0.504132,0.189807,5.81297,0.277389,NA,NA,86.8997,8.18835,8.3,1.10198,1.10198,4.90746,11.7907375097275,15.4208116531372,113.356,NA,NA,NA,22.7900009155273,0.00628931,"SS",25,"NL","12916",""
